address,ai_error,ai_status,allergens,confidence,cuisine,decision,dietary_certification,explanation,matches_allergy_safe,matches_budget,matches_dietary,matches_walking_time,name,price,reason,score,walking_time,walking_time_is_estimated
,No API key configured.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,FC,,AI evaluation failed or was unavailable — needs manual review.,0.0,2.0,True
,No API key configured.,failed,Unavailable,,steak_house,flag,Unavailable,,,,,,Jack's Place,,AI evaluation failed or was unavailable — needs manual review.,0.0,9.9,True
,No API key configured.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,ChenJi,,AI evaluation failed or was unavailable — needs manual review.,0.0,5.7,True
,,ok,Unavailable,0.95,Unavailable,accept,Unavailable,"User has no dietary restrictions, no allergies, no budget limit, and the restaurant is within the 10-minute walking limit at 2.0 minutes.",True,True,True,True,FC,,"Meets all requirements with high confidence (0.95). User has no dietary restrictions, no allergies, no budget limit, and the restaurant is within the 10-minute walking limit at 2.0 minutes.",0.73,2.0,True
,AI did not return a valid response after retries.,failed,Unavailable,,steak_house,flag,Unavailable,,,,,,Jack's Place,,AI evaluation failed or was unavailable — needs manual review.,0.0,9.9,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,ChenJi,,AI evaluation failed or was unavailable — needs manual review.,0.0,5.7,True
,AI did not return a valid response after retries.,failed,Unavailable,,steak_house,flag,Unavailable,,,,,,Jack's Place,,AI evaluation failed or was unavailable — needs manual review.,0.0,7.2,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Roast.Duck,,AI evaluation failed or was unavailable — needs manual review.,0.0,8.2,True
560724,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Ang Mo Kio Blk 724 Food Centre,,AI evaluation failed or was unavailable — needs manual review.,0.0,4.5,True
,AI did not return a valid response after retries.,failed,Unavailable,,Unavailable,flag,Unavailable,,,,,,Teck Ghee Food Centre,,AI evaluation failed or was unavailable — needs manual review.,0.0,7.4,True
